Lang Code	EN	ES	IT	FR
^language	LANGUAGE	IDIOMA	LINGUAGGIO	LANGUE
^centuries	Centuries	Siglos	secoli	siècles
^time_visualization	Time visualization	Visualización de tiempo		
^data_displayed	Data displayed:	Datos mostrados:		
^time_fluctuation	Time fluctuation: 	Fluctuación de tiempo:		
^sequential	Timeline	Secuencial		
^split	Time Layers	Capas de tiempo		
^display_items	Display items with:	Mostrar items con:		
^technique	Technique	Técnica		
^material	Material	Material		
^gallery	Gallery	Galería		
^show_relationships	Show Relationships	Mostrar relaciones		
^images	Images:	Imágenes:		
^properties	Properties:	Propiedades:		
^clear_filters	Clear Filters	Limpiar filtros		
^description	description	descripción		
^place	place	lugar		
^time	Time	Tiempo		
^loading_data	Loading Data	Cargando datos		
^missing_time_data	Missing Time Data	Información de tiempo no disponible		
^exit_timeVisualization	Exit Time Visualization	Salir de Visualización de tiempo		
^stacked_centuries_label	Centuries {0} to {1}	Siglos {0} a {1}		
^property	Property	Propiedad		
^legend_title	Relations of Properties	Relaciones de propiedades		
